Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,176.020004,178.000000,175.100006,175.720001,175.720001,27441800
2019-04-08,175.210007,179.630005,174.229996,179.100006,179.100006,59150700
2019-04-15,178.500000,180.740005,176.869995,178.279999,178.279999,43679300
2019-04-22,178.250000,198.479996,178.250000,191.490005,191.490005,146858400
2019-04-29,190.949997,197.389999,189.750000,195.470001,195.470001,86917500
2019-05-06,191.240005,194.279999,184.589996,188.339996,188.339996,68299100
2019-05-13,183.500000,188.580002,178.100006,185.300003,185.300003,74646800
2019-05-20,181.880005,186.740005,179.669998,181.059998,181.059998,48645100
2019-05-27,181.539993,184.710007,177.160004,177.470001,177.470001,51449000
2019-06-03,175.000000,175.050003,160.839996,173.350006,173.350006,151225900
2019-06-10,174.750000,181.839996,172.880005,181.330002,181.330002,76743300
2019-06-17,185.009995,194.529999,184.410004,191.139999,191.139999,125835300
2019-06-24,192.419998,198.880005,187.309998,193.000000,193.000000,72605800
2019-07-01,195.210007,197.399994,191.929993,196.399994,196.399994,44664900
2019-07-08,195.190002,205.300003,193.639999,204.869995,204.869995,74039000
2019-07-15,204.250000,205.470001,198.070007,198.360001,198.360001,64301600
2019-07-22,199.910004,208.660004,196.250000,199.750000,199.750000,125029100
2019-07-29,199.000000,199.630005,188.070007,189.020004,189.020004,76101900
2019-08-05,184.690002,190.979996,179.339996,187.850006,187.850006,82843300
2019-08-12,186.850006,191.380005,179.309998,183.699997,183.699997,68997500
2019-08-19,186.009995,187.500000,176.660004,177.750000,177.750000,56317600
2019-08-26,179.399994,186.800003,178.240005,185.669998,185.669998,53462500
2019-09-02,184.000000,191.360001,182.110001,187.490005,187.490005,50190900
2019-09-09,187.729996,190.929993,184.550003,187.190002,187.190002,64800900
2019-09-16,186.929993,193.100006,185.539993,189.929993,189.929993,58124700
2019-09-23,189.339996,190.100006,175.660004,177.100006,177.100006,80682000
2019-09-30,177.869995,180.979996,173.089996,180.449997,180.449997,70481200
2019-10-07,180.000000,186.490005,177.720001,184.190002,184.190002,49737600
2019-10-14,184.199997,191.490005,182.570007,185.850006,185.850006,59039200
2019-10-21,187.039993,190.649994,181.500000,187.889999,187.889999,59435300
2019-10-28,187.199997,198.089996,185.080002,193.619995,193.619995,119965700
2019-11-04,194.550003,197.369995,189.470001,190.839996,190.839996,61520100
2019-11-11,189.929993,195.699997,188.539993,195.100006,195.100006,57672200
2019-11-18,194.559998,200.000000,193.050003,198.820007,198.820007,69670200
2019-11-25,199.520004,203.800003,198.039993,201.639999,201.639999,47729600
2019-12-02,202.130005,202.179993,195.080002,201.050003,201.050003,53566000
2019-12-09,200.649994,203.660004,193.169998,194.110001,194.110001,72000100
2019-12-16,195.270004,207.710007,194.809998,206.300003,206.300003,92183100
2019-12-23,206.699997,208.929993,205.000000,208.100006,208.100006,39030100
2019-12-30,207.860001,210.399994,203.600006,208.669998,208.669998,42743300
2020-01-06,206.699997,219.880005,206.520004,218.059998,218.059998,70208500
2020-01-13,219.600006,222.630005,218.630005,222.139999,222.139999,63710000
2020-01-20,222.160004,222.750000,216.110001,217.940002,217.940002,49589400
2020-01-27,213.100006,224.199997,201.059998,201.910004,201.910004,140541200
2020-02-03,203.440002,212.820007,202.500000,212.330002,212.330002,70487600
2020-02-10,211.520004,214.929993,206.509995,214.179993,214.179993,76839200
2020-02-17,213.550003,218.770004,208.830002,210.179993,210.179993,54945800
2020-02-24,201.800003,203.649994,181.820007,192.470001,192.470001,115304200
2020-03-02,194.029999,197.240005,176.259995,181.089996,181.089996,119888600
2020-03-09,169.600006,178.289993,154.339996,170.279999,170.279999,153135600
2020-03-16,152.320007,159.929993,137.100006,149.729996,149.729996,183359800
2020-03-23,149.660004,164.000000,142.250000,156.789993,156.789993,146892200
2020-03-30,159.179993,170.929993,150.830002,154.179993,154.179993,112558300
2020-04-03,157.149994,157.910004,150.830002,154.179993,154.179993,25125865
